id;text_type
1984;caption
1985;article
1986;article
1987;article
1988;article
1989;article
1990;article
1991;article
1992;article
1993;article
1994;article
1995;article
1996;article
1997;article
1998;article
1999;article
2000;article
2001;article
2002;article
2003;article
2004;article
2005;article
2006;article
2007;article
2008;article
2009;article
2010;article
2011;article
2012;article
2013;article
2014;article
2015;article
2016;article
2017;article
2018;article
2019;article
2020;article
2021;article
2022;article
2023;article
2024;article
2025;article
2026;article
2027;article
2028;caption
2029;article
2030;article
2031;article
2032;article
2033;article
2034;article
2035;article
2036;article
2037;article
2038;article
2039;article
2040;article
2041;article
2042;article
2043;article
2044;article
2045;article
2046;article
2047;article
2048;article
2049;article
2050;article
2051;article
2052;article
2053;article
2054;article
2055;article
2056;article
2057;article
2058;article
2059;article
2060;caption
2061;article
2062;article
2063;article
2064;caption
2065;article
2066;article
2067;article
2068;article
2069;article
2070;article
2071;article
2072;article
2073;article
2074;article
2075;article
2076;article
2077;article
2078;article
2079;article
2080;article
2081;article
2082;article
2083;caption
2084;article
2085;article
2086;article
2087;article
2088;article
2089;article
2090;article
2091;article
2092;article
2093;article
2094;article
2095;article
2096;article
2097;article
2098;article
2099;caption
2100;article
2101;article
2102;article
2103;article
2104;article
2105;article
2106;article
2107;article
2108;article
2109;article
2110;article
2111;article
2112;article
2113;article
2114;article
2115;article
2116;article
2117;article
2118;article
2119;article
2120;article
2121;caption
2122;article
2123;article
2124;article
2125;article
2126;article
2127;article
2128;article
2129;article
2130;article
2131;article
2132;article
2133;article
2134;article
2135;article
2136;article
2137;article
2138;article
2139;article
2140;article
2141;article
2142;article
2143;article
2144;article
2145;article
2146;article
2147;article
2148;article
2149;article
2150;article
2151;article
2152;article
2153;article
2154;article
2155;article
2156;article
2157;article
2158;article
2159;article
2160;article
2161;article
2162;caption
2163;article
2164;article
2165;article
2166;article
2167;article
2168;article
2169;article
2170;article
2171;article
2172;article
2173;article
2174;article
2175;article
2176;article
2177;article
2178;article
2179;article
2180;article
2181;article
2182;article
2183;article
2184;article
2185;article
2186;article
2187;article
2188;article
2189;article
2190;article
2191;article
2192;article
2193;article
2194;article
2195;article
2196;article
2197;article
2198;article
2199;article
2200;article
2201;article
2202;article
2203;caption
2204;article
2205;article
2206;article
2207;article
2208;article
2209;article
2210;article
2211;article
2212;article
2213;article
2214;article
2215;article
2216;article
2217;article
2218;article
2219;article
2220;article
2221;article
2222;article
2223;article
2224;article
2225;article
2226;article
2227;article
2228;caption
2229;article
2230;article
2231;article
2232;article
2233;article
2234;caption
2235;article
2236;article
2237;article
2238;article
2239;article
2240;article
2241;article
2242;article
2243;article
2244;article
2245;article
2246;article
2247;article
2248;article
2249;article
2250;article
2251;article
2252;article
2253;article
2254;article
2255;article
2256;article
2257;article
2258;article
2259;article
2260;article
2261;article
2262;article
2263;caption
2264;article
2265;article
2266;article
2267;article
2268;article
2269;article
2270;article
2271;article
2272;article
2273;article
2274;article
2275;article
2276;article
2277;article
2278;article
2279;caption
2280;article
2281;article
2282;article
2283;article
2284;article
2285;article
2286;article
2287;article
2288;article
2289;caption
2290;article
2291;article
2292;article
2293;article
2294;caption
2295;article
2296;article
2297;article
2298;article
2299;article
2300;article
2301;article
2302;caption
2303;article
2304;article
2305;article
2306;article
2307;article
2308;article
2309;article
2310;article
2311;article
2312;article
2313;article
2314;article
2315;article
2316;article
2317;article
2318;article
2319;article
2320;caption
2321;caption
2322;article
2323;article
2324;article
2325;article
2326;article
2327;article
2328;article
2329;article
2330;article
2331;article
2332;article
2333;article
2334;article
2335;article
2336;article
2337;article
2338;article
2339;article
2340;article
2341;article
2342;article
2343;article
2344;article
2345;article
2346;article
2347;article
2348;article
2349;article
2350;article
2351;article
2352;article
2353;article
2354;article
2355;article
2356;caption
2357;article
2358;article
2359;article
2360;article
2361;article
2362;article
2363;article
2364;article
2365;article
2366;article
2367;article
2368;article
2369;article
2370;article
2371;article
2372;article
2373;article
2374;article
2375;article
2376;article
2377;caption
2378;article
2379;article
2380;article
2381;article
2382;article
2383;article
2384;article
2385;article
2386;article
2387;article
2388;article
2389;article
2390;article
2391;article
2392;article
2393;article
2394;article
2395;article
2396;article
2397;article
2398;article
2399;article
2400;article
2401;article
2402;caption
2403;article
2404;article
2405;article
2406;article
2407;article
2408;article
2409;article
2410;article
2411;article
2412;article
2413;article
2414;article
2415;article
2416;article
2417;article
2418;article
2419;article
2420;article
2421;article
2422;article
2423;article
2424;article
2425;article
2426;article
2427;article
2428;article
2429;article
2430;article
2431;article
2432;article
2433;article
2434;article
2435;article
2436;article
2437;article
2438;article
2439;article
2440;article
2441;article
2442;caption
2443;caption
2444;article
2445;article
2446;article
2447;article
2448;article
2449;article
2450;article
2451;article
2452;article
2453;article
2454;article
2455;article
2456;article
2457;article
2458;article
2459;article
2460;article
2461;article
2462;article
2463;article
2464;article
2465;article
2466;article
2467;article
2468;article
2469;article
2470;article
2471;article
2472;article
2473;article
2474;article
2475;article
2476;article
2477;article
2478;article
2479;article
2480;caption
2481;article
2482;article
2483;article
2484;caption
2485;article
2486;article
2487;article
2488;article
2489;article
2490;article
2491;article
2492;article
2493;article
2494;article
2495;article
2496;article
2497;article
2498;article
2499;article
2500;article
2501;article
2502;article
2503;article
2504;article
2505;article
2506;article
2507;article
2508;article
2509;article
2510;article
2511;article
2512;article
2513;article
2514;article
2515;article
2516;article
2517;article
2518;article
2519;article
2520;article
2521;article
2522;article
2523;article
2524;article
2525;article
2526;article
2527;article
2528;article
2529;article
2530;article
2531;article
2532;article
2533;article
2534;article
2535;article
2536;article
2537;article
2538;article
2539;article
2540;article
2541;caption
2542;article
2543;article
2544;article
2545;article
2546;article
2547;article
2548;article
2549;article
2550;article
2551;article
2552;article
2553;article
2554;article
2555;article
2556;article
2557;article
2558;article
2559;article
2560;article
2561;article
2562;article
2563;article
2564;article
2565;article
2566;caption
2567;article
2568;article
2569;article
2570;article
2571;article
2572;article
2573;article
2574;article
2575;article
2576;article
2577;article
2578;article
2579;article
2580;article
2581;article
2582;article
2583;caption
2584;article
2585;caption
2586;article
2587;article
2588;article
2589;article
2590;article
2591;article
2592;caption
2593;article
2594;article
2595;article
2596;article
2597;article
2598;article
2599;article
2600;article
2601;article
2602;article
2603;article
2604;article
2605;article
2606;caption
2607;article
2608;article
2609;article
2610;article
2611;article
2612;article
2613;article
2614;caption
2615;article
2616;article
2617;article
2618;caption
2619;caption
2620;article
2621;article
2622;article
2623;article
2624;article
2625;article
2626;article
2627;caption
2628;article
2629;article
2630;article
2631;article
2632;article
2633;article
2634;article
2635;article
2636;article
2637;article
2638;article
2639;article
2640;article
2641;article
2642;article
2643;article
2644;article
2645;article
2646;article
2647;article
2648;article
2649;caption
2650;article
2651;article
2652;article
2653;article
2654;article
2655;article
2656;article
2657;article
2658;article
2659;article
2660;caption
2661;article
2662;article
2663;article
2664;article
2665;article
2666;article
2667;caption
2668;article
2669;article
2670;article
2671;article
2672;article
2673;article
2674;article
2675;article
2676;article
2677;article
2678;article
2679;article
2680;article
2681;article
2682;article
2683;article
2684;article
2685;article
2686;caption
2687;article
2688;article
2689;article
2690;article
2691;caption
2692;article
2693;article
2694;article
2695;article
2696;article
2697;article
2698;article
2699;article
2700;article
2701;article
2702;caption
2703;article
2704;article
2705;article
2706;article
2707;article
2708;article
2709;caption
2710;article
2711;caption
2712;article
2713;article
2714;article
2715;article
2716;caption
2717;article
2718;article
2719;article
2720;article
2721;article
2722;article
2723;article
2724;article
2725;article
2726;article
2727;article
2728;caption
2729;article
2730;article
2731;article
2732;article
2733;caption
2734;article
2735;article
2736;article
2737;article
2738;article
2739;article
2740;article
2741;article
2742;article
2743;article
2744;caption
2745;article
2746;article
2747;article
2748;article
2749;caption
2750;article
2751;article
2752;article
2753;article
2754;article
2755;caption
2756;article
2757;article
2758;article
2759;article
2760;caption
2761;article
2762;article
2763;article
2764;article
2765;article
2766;article
2767;article
2768;article
2769;article
2770;article
2771;article
2772;article
2773;article
2774;article
2775;caption
2776;article
2777;article
2778;article
2779;article
2780;article
2781;article
2782;article
2783;article
2784;article
2785;article
2786;article
2787;article
2788;article
2789;article
2790;article
2791;article
2792;article
2793;article
2794;article
2795;article
2796;article
2797;article
2798;article
2799;article
2800;article
2801;article
2802;article
2803;article
2804;article
2805;article
2806;article
2807;article
2808;article
2809;article
2810;article
2811;article
2812;article
2813;article
2814;article
2815;article
2816;article
2817;article
2818;article
2819;article
2820;article
2821;article
2822;article
2823;article
2824;article
2825;article
2826;article
2827;article
2828;article
2829;article
2830;caption
2831;article
2832;article
2833;article
2834;article
2835;article
2836;article
2837;article
2838;article
2839;article
2840;article
2841;caption
2842;article
2843;article
2844;article
2845;article
2846;article
2847;article
2848;article
2849;article
2850;article
2851;article
2852;article
2853;article
2854;caption
2855;article
2856;article
2857;article
2858;article
2859;article
2860;article
2861;article
2862;article
2863;article
2864;article
2865;article
2866;article
2867;caption
2868;article
2869;article
2870;article
2871;article
2872;article
2873;article
2874;article
2875;caption
2876;article
2877;article
2878;article
2879;article
2880;article
2881;article
2882;article
2883;article
2884;article
2885;article
2886;caption
2887;article
2888;article
2889;article
2890;article
2891;article
2892;article
2893;article
2894;article
2895;caption
2896;article
2897;article
2898;article
2899;article
2900;caption
2901;article
2902;article
2903;article
2904;article
2905;article
2906;article
2907;article
2908;article
2909;article
2910;article
2911;article
2912;article
2913;article
2914;article
2915;article
2916;article
2917;article
2918;article
2919;article
2920;caption
2921;caption
2922;article
2923;article
2924;article
2925;article
2926;article
2927;article
2928;article
2929;article
2930;article
2931;caption
2932;article
2933;article
2934;article
2935;article
2936;article
2937;article
2938;article
2939;article
2940;article
2941;article
2942;article
2943;article
2944;article
2945;article
2946;article
2947;article
2948;article
2949;article
2950;article
2951;article
